title	year	rank	watched
Sherlock Holmes: A Game of Shadows 	2011	-99	1
Shoot to Kill 	1988	-99	0
Shooter		-99	1
Short Cuts		-99	1
Sid and Nancy 	1986	-99	1
Sideways		-99	1
Signs		-99	1
Silence 	2016	-99	1
Simon Birch		-99	1
Singles		-99	1
Six Days Seven Nights		-99	1
Sixteen Candles		-99	1
Skyfall		-99	1
Slap Shot		-99	1
Sleepless in Seattle		-99	1
Sling Blade		-99	0
Slumdog Millionaire		-99	1
Smart People		-99	1
Smashed		-99	1
Smokin' Aces		-99	1
Snatch		-99	1
Sneakers		-99	1
Snow White and the Huntsman		-99	1
Snowden		-99	1
Something Borrowed 	2011	-99	1
Southpaw 	2015	-99	1
Space Cowboys		-99	1
Spanglish		-99	1
Spare Parts		-99	1
Speed 2		-99	1
Spider-Man 	2002	-99	1
The Amazing Spider-Man 	2012	-99	1
The Amazing Spider-Man 2 	2014	-99	1
Spider-Man 2 	2004	-99	1
Spider-Man 3 	2007	-99	1
Spies Like Us		-99	1
Spirited Away 	2001	-99	1
Spotlight		-99	1
Spread		-99	1
Spun		-99	1
Spy 	2015	-99	1
Spy Game		-99	1
St.Vincent		-99	1
Stalin 	1992	-99	1
Stand By Me		-99	1
Stand Up Guys		-99	1
Star Trek Into Darkness		-99	1
Star Trek		-99	1
Starred Up		-99	1
Starter for 10		-99	1
State and Main		-99	1
Step Brothers		-99	1
Steve Jobs		-99	1
Stop-Loss		-99	1
Stranger Than Fiction		-99	1
Striking Distance		-99	1
Stripes		-99	1
Stuck in Love 	2012	-99	1
Sucker Punch		-99	1
Sunshine Cleaning		-99	1
Sunshine		-99	1
Super Troopers		-99	1
Superbad		-99	1
Surrogates		-99	1
Survivor		-99	1
Suspect		-99	1
Sweet Home Alabama		-99	1
Sweetwater		-99	1
Swimming Upstream		-99	1
Swimming with Sharks		-99	1
Swingers		-99	1
Swordfish		-99	1
Synecdoche, New York		-99	1
Syrup		-99	1
Tadpole		-99	1
Taken 2		-99	1
Taken 3 	2014	-99	1
Taken		-99	1
Taking Woodstock		-99	1
Talladega Nights		-99	1
Taxi		-99	1
Ted 2		-99	1
Ted		-99	1
Temple Grandin 	2010	-99	1
Terminator 2: Judgment Day		-99	1
Terminator 3: Rise of the Machines		-99	1
Terminator Salvation		-99	1
Terminator		-99	1
The Banger Sisters 	2002	-99	1
The Bank Job		-99	1
The Basketball Diaries		-99	1
The Beach		-99	1
The Beaver		-99	1
The Big Easy		-99	1
The Big Green		-99	1
The Big Hit 	1998	-99	1
The Big Lebowski		-99	1
